Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_median_income,suburb_lat,suburb_lng,km_from_cbd,ds_float,tot_rooms,prop_cbd
1830000,2021-11-09,1,4,2,0.440650406504065,1,42172,-34.05314,151.1205,0.2708690330477356,1636416000.0,5,0.1193585495218477
4700000,2020-11-17,2,5,2,0.373170731707317,1,53612,-33.76971,151.28907,0.1539779681762546,1605571200.0,7,0.0574600710511389
1150000,2018-11-26,3,6,2,0.5284552845528455,1,40612,-33.80912,150.79558,0.4718482252141983,1543190400.0,9,0.2493506881213243
1356500,2021-11-19,2,4,2,0.5333333333333333,1,28288,-33.35917,151.48543,0.7511627906976744,1637280000.0,6,0.4006201550387597
1410000,2020-05-16,2,4,2,0.6544715447154471,1,41288,-33.74634,150.98287,0.3,1589587200.0,6,0.1963414634146341
1655000,2016-11-26,1,2,0,0.0495934959349593,1,69784,-33.85833,151.18067,0.0307221542227662,1480118400.0,3,0.0015236190305599
765000,2017-10-02,2,4,2,0.4739837398373984,1,29380,-33.40534,151.3625,0.6441860465116279,1506902400.0,6,0.3053337114766496
2125000,2019-06-22,2,4,5,0.491869918699187,1,34996,-33.88062,151.1169,0.1036719706242349,1561161600.0,6,0.0509931237623269
1725000,2021-06-29,3,4,7,0.4463414634146341,1,44408,-34.0446,151.1403,0.2523867809057528,1624924800.0,7,0.1126506851359823
756500,2017-05-30,2,3,1,0.5008130081300813,1,31824,-33.45321,151.38285,0.588984088127295,1496102400.0,5,0.2949708929157835
1090000,2020-11-28,2,3,2,0.5772357723577236,1,34632,-33.49514,151.34642,0.5220318237454101,1606521600.0,5,0.3013354429749929
1760000,2021-11-11,1,3,1,0.7959349593495935,1,40924,-33.72933,150.99777,0.2993880048959608,1636588800.0,4,0.2382933795066224
1540000,2021-02-27,1,3,2,0.3317073170731707,1,25740,-33.93108,151.21145,0.0859241126070991,1614384000.0,4,0.0285016568647938
775000,2016-10-08,1,3,2,0.4146341463414634,1,29640,-33.90761,150.98902,0.2529987760097918,1475884800.0,4,0.1049019315162551
1355000,2019-09-17,3,5,2,0.7691056910569106,1,38168,-33.44581,151.42873,0.6175030599755202,1568678400.0,8,0.4749251176722294
1330000,2021-07-19,1,2,1,0.0463414634146341,1,44980,-33.75117,151.29037,0.1758873929008567,1626652800.0,3,0.0081508791832104
