Target,date_sold,num_bath,num_bed,num_parking,property_size,type,suburb_lat,suburb_lng,km_from_cbd
660000,16/3/16,3,2,2,0.7130081300813008,House,-33.49756,151.40816,0.5436964504283965
487000,16/3/16,1,3,1,0.36829268292682926,House,-33.39553,151.33681,0.6499388004895961
1620000,17/3/16,1,3,1,0.13008130081300814,House,-33.85093,151.18309,0.032313341493268054
1105000,17/3/16,1,3,0,0.17317073170731706,House,-33.9466,151.18371,0.11077111383108934
790000,17/3/16,1,4,2,0.4195121951219512,House,-33.90028,150.99309,0.24638922888616888
450000,17/3/16,1,3,1,0.4869918699186992,House,-33.39553,151.33681,0.6499388004895961
2890000,18/3/16,2,5,3,0.7016260162601626,House,-33.8112,151.2183,0.07013463892288863
1960000,18/3/16,3,5,2,0.6455284552845528,House,-33.75738,151.18183,0.1460220318237454
1800000,18/3/16,2,3,2,0.08536585365853659,House,-33.9082,151.19191,0.05826193390452876
732000,18/3/16,2,3,1,0.4170731707317073,House,-33.84214,150.89843,0.3505507955936352
2418000,19/3/16,2,3,0,0.13414634146341464,House,-33.89296,151.2503,0.055691554467564255
2113000,19/3/16,2,4,4,0.6585365853658537,House,-33.76365,151.12999,0.16119951040391675
2055000,19/3/16,3,5,2,0.551219512195122,House,-33.62899,151.32686,0.3433292533659731
2050000,19/3/16,2,3,2,0.5097560975609756,House,-33.99151,151.24014,0.1712362301101591
1930000,19/3/16,2,3,2,0.26747967479674795,House,-33.85841,151.14202,0.07380660954712362
1740000,19/3/16,2,4,2,0.34796747967479674,House,-33.88062,151.1169,0.10367197062423499
1500000,19/3/16,1,2,2,0.23902439024390243,House,-33.85841,151.14202,0.07380660954712362
1435500,19/3/16,1,3,3,0.34796747967479674,House,-33.93108,151.21145,0.08592411260709915
1390000,19/3/16,1,3,1,0.5373983739837398,House,-33.88062,151.1169,0.10367197062423499
1219000,19/3/16,2,3,1,0.17154471544715447,House,-33.9466,151.18371,0.11077111383108934
629000,19/3/16,2,3,2,0.216260162601626,House,-33.50518,151.33518,0.5052631578947369
1365000,20/3/16,1,3,2,0.1943089430894309,House,-33.89452,151.1556,0.06964504283965728
2650000,21/3/16,2,4,2,0.5154471544715448,House,-33.8268,151.10602,0.12496940024479802
1850000,21/3/16,4,4,2,0.7235772357723578,House,-33.69054,151.15407,0.24173806609547122
1150000,21/3/16,3,4,2,0.3934959349593496,House,-33.8105,151.06162,0.17992656058751527
925000,21/3/16,3,5,2,0.25203252032520324,House,-33.97301,151.00632,0.2694002447980416
739950,21/3/16,2,4,2,0.5365853658536586,House,-34.05177,150.74372,0.5813953488372093
1045000,22/3/16,2,4,3,0.39186991869918697,House,-33.97042,151.03352,0.24186046511627904
920000,22/3/16,2,6,3,0.4195121951219512,House,-33.90028,150.99309,0.24638922888616888
446000,22/3/16,2,4,1,0.4666666666666667,House,-33.32678,151.44557,0.7746634026927786
935000,23/3/16,1,3,1,0.6097560975609756,House,-33.94767,151.01233,0.24651162790697675
867000,23/3/16,2,4,2,0.4349593495934959,House,-33.94767,151.01233,0.24651162790697675
689000,23/3/16,2,3,1,0.14634146341463414,House,-33.94767,151.01233,0.24651162790697675
660000,23/3/16,2,3,2,0.4813008130081301,House,-33.5035,151.36918,0.5194614443084455
587500,23/3/16,2,3,2,0.4097560975609756,House,-34.05177,150.74372,0.5813953488372093
2450000,24/3/16,3,4,0,0.15447154471544716,House,-33.85093,151.18309,0.032313341493268054
745000,24/3/16,1,4,0,0.5528455284552846,House,-33.8105,151.06162,0.17992656058751527
730000,24/3/16,2,3,1,0.06341463414634146,Apartment,-33.89452,151.1556,0.06964504283965728
457000,24/3/16,2,3,1,0.22032520325203253,House,-33.36629,151.4607,0.7310893512851897
820000,26/3/16,2,4,2,0.4479674796747967,House,-33.86202,150.88392,0.36560587515299875
1525000,29/3/16,2,5,5,0.8365853658536585,House,-33.97301,151.00632,0.2694002447980416
1225000,29/3/16,1,3,2,0.7284552845528456,House,-33.8105,151.06162,0.17992656058751527
740000,29/3/16,2,4,2,0.4008130081300813,House,-33.49914,151.39045,0.533782129742962
708000,29/3/16,2,3,2,0.44390243902439025,House,-33.86202,150.88392,0.36560587515299875
675000,29/3/16,1,3,1,0.4195121951219512,House,-33.88495,150.95058,0.29118727050183596
400000,29/3/16,1,2,1,0.37886178861788616,House,-33.36629,151.4607,0.7310893512851897
950000,30/3/16,2,3,2,0.3463414634146341,House,-33.73636,151.07741,0.2268053855569155
900000,30/3/16,1,2,1,0.45772357723577234,Apartment,-33.9082,151.19191,0.05826193390452876
795000,30/3/16,2,4,4,0.3178861788617886,House,-33.75523,150.88065,0.3981640146878825
655000,30/3/16,2,4,2,0.5373983739837398,House,-34.05177,150.74372,0.5813953488372093
545000,31/3/16,1,3,0,0.8,House,-33.43514,151.35463,0.6028151774785802
2250000,13/4/16,4,5,2,0.5666666666666667,House,-33.98679,151.11717,0.1920440636474908
875000,13/4/16,2,4,2,0.4268292682926829,House,-33.99074,150.74247,0.5521419828641371
845000,13/4/16,2,5,4,0.5073170731707317,House,-33.97301,151.00632,0.2694002447980416
650000,13/4/16,2,4,3,0.4861788617886179,House,-33.76129,150.72784,0.5604651162790698
426000,13/4/16,1,3,2,0.4560975609756098,House,-33.27889,151.43056,0.8308445532435741
795000,14/4/16,3,4,2,0.5065040650406504,House,-33.32678,151.44557,0.7746634026927786
525000,14/4/16,1,3,1,0.41544715447154473,House,-33.39553,151.33681,0.6499388004895961
1420000,15/4/16,3,4,2,0.31869918699186994,House,-33.8105,151.06162,0.17992656058751527
1250000,15/4/16,2,3,1,0.24065040650406505,House,-33.8268,151.10602,0.12496940024479802
495000,15/4/16,2,4,2,0.5382113821138211,House,-33.27889,151.43056,0.8308445532435741
469000,15/4/16,2,3,2,0.5040650406504065,House,-33.27889,151.43056,0.8308445532435741
1710000,16/4/16,2,4,2,0.424390243902439,House,-33.9289,151.22527,0.08457772337821297
766000,16/4/16,1,3,1,0.4195121951219512,House,-33.94767,151.01233,0.24651162790697675
1840000,17/4/16,1,3,0,0.1821138211382114,House,-33.89296,151.2503,0.055691554467564255
1212000,18/4/16,1,2,1,0.6463414634146342,House,-33.76365,151.12999,0.16119951040391675
518000,18/4/16,1,3,1,0.47073170731707314,House,-34.08405,150.81805,0.5299877600979193
495000,18/4/16,1,3,1,0.4943089430894309,House,-34.10624,150.79181,0.5713586291309669
1060000,19/4/16,2,4,2,0.5528455284552846,House,-33.8105,151.06162,0.17992656058751527
930000,19/4/16,1,3,1,0.4398373983739837,House,-33.8105,151.06162,0.17992656058751527
702000,19/4/16,3,4,4,0.691869918699187,House,-34.08405,150.81805,0.5299877600979193
2050000,20/4/16,1,3,2,0.8520325203252033,House,-33.51258,151.34636,0.49938800489596086
695000,20/4/16,3,4,2,0.383739837398374,House,-33.39553,151.33681,0.6499388004895961
435000,20/4/16,2,3,1,0.4300813008130081,House,-33.23957,151.56058,0.9345165238678091
435000,20/4/16,2,4,3,0.4195121951219512,House,-33.23957,151.56058,0.9345165238678091
960000,21/4/16,2,4,2,0.6048780487804878,House,-34.00258,151.0648,0.24492044063647486
665000,21/4/16,1,6,6,0.5170731707317073,House,-33.76129,150.72784,0.5604651162790698
1400000,22/4/16,2,3,3,0.16829268292682928,House,-33.89452,151.1556,0.06964504283965728
1059000,22/4/16,2,4,3,0.416260162601626,House,-33.8105,151.06162,0.17992656058751527
750000,22/4/16,1,3,0,0.4065040650406504,House,-33.88742,151.0104,0.22423500611995104
575000,22/4/16,2,4,0,0.5739837398373984,House,-33.49914,151.39045,0.533782129742962
375000,22/4/16,1,2,1,0.34552845528455284,House,-33.27889,151.43056,0.8308445532435741
2455000,23/4/16,2,4,2,0.7113821138211383,House,-34.01833,151.12465,0.2255813953488372
2155000,23/4/16,2,4,2,0.45934959349593496,House,-33.98679,151.11717,0.1920440636474908
1330000,23/4/16,2,3,1,0.7227642276422764,House,-33.73636,151.07741,0.2268053855569155
910000,23/4/16,2,5,2,0.5365853658536586,House,-33.67757,150.91278,0.4186046511627907
871000,23/4/16,2,3,2,0.42520325203252035,House,-33.86202,150.88392,0.36560587515299875
595000,23/4/16,1,3,1,0.5300813008130081,House,-33.66886,150.85969,0.47454100367197066
1820000,26/4/16,2,4,2,0.6463414634146342,House,-33.75738,151.18183,0.1460220318237454
1160000,26/4/16,1,3,1,0.16422764227642275,House,-33.8953,151.14668,0.0788249694002448
1330000,27/4/16,1,3,0,0.15772357723577235,House,-33.89452,151.1556,0.06964504283965728
840000,27/4/16,3,4,2,0.45934959349593496,House,-33.86202,150.88392,0.36560587515299875
1865000,28/4/16,2,4,2,0.5382113821138211,House,-33.86291,151.06711,0.1580171358629131
1080000,28/4/16,2,4,2,0.5365853658536586,House,-33.67757,150.91278,0.4186046511627907
780000,28/4/16,2,3,2,0.43089430894308944,House,-33.86202,150.88392,0.36560587515299875
